,cena_brutto_pln,powierzchnia_uzytkowa,liczba_izb,kondygnacja,dzielnica
0,1009744.6,73.1,4.0,4.0,4.0
5,878378.47,56.49,2.0,6.0,4.0
10,1245000.0,106.67,4.0,1.0,8.0
11,2150500.55,84.7,3.0,5.0,2.0
13,615812.88,37.57,2.0,1.0,1.0
17,769632.88,52.62,3.0,1.0,1.0
21,718244.98,40.49,2.0,1.0,1.0
31,1093223.23,111.88,7.0,1.0,8.0
39,223349.5,50.86,3.0,1.0,18.0
40,868063.35,112.7,6.0,1.0,8.0
66,768690.52,62.61,4.0,2.0,4.0
68,475315.0,41.36,2.0,1.0,15.0
70,462270.0,34.36,2.0,8.0,15.0
72,878520.0,30.9,2.0,2.0,1.0
73,701545.36,49.27,3.0,4.0,12.0
78,824129.63,58.78,3.0,5.0,12.0
83,1549000.0,121.83,5.0,1.0,8.0
84,1059000.0,68.37,4.0,3.0,4.0
85,615973.65,46.34,3.0,4.0,12.0
95,448426.0,29.67,2.0,8.0,15.0
97,996000.0,100.34,4.0,1.0,12.0
103,406116.0,34.27,2.0,6.0,15.0
105,28779.9,51.2,4.0,3.0,2.0
108,458445.0,45.95,3.0,3.0,18.0
113,442580.0,34.21,2.0,5.0,15.0
121,26413.43,45.7,4.0,2.0,2.0
124,427960.0,33.78,2.0,2.0,15.0
126,1020000.0,120.03,6.0,1.0,8.0
127,1075000.0,56.85,3.0,3.0,5.0
134,870951.17,97.15,3.0,2.0,17.0
144,586017.49,43.6,2.0,2.0,8.0
147,904000.0,97.14,4.0,2.0,17.0
163,699000.0,39.44,2.0,3.0,3.0
174,612443.16,38.34,2.0,5.0,4.0
179,483140.0,25.88,1.0,6.0,13.0
182,664058.2,39.38,2.0,2.0,4.0
187,948942.05,65.75,3.0,5.0,4.0
192,898500.0,51.76,5.0,3.0,13.0
201,1080025.96,75.87,4.0,6.0,4.0
206,833000.0,46.22,3.0,4.0,3.0
211,902000.0,35.21,2.0,8.0,5.0
212,946647.8,54.95,3.0,5.0,4.0
217,609792.0,38.42,2.0,2.0,4.0
222,856540.0,53.56,3.0,3.0,13.0
225,1192000.0,69.42,4.0,5.0,3.0
230,607886.4,38.28,2.0,2.0,4.0
277,805507.8,52.54,3.0,5.0,4.0
282,971256.96,72.46,4.0,2.0,4.0
287,988800.0,55.09,3.0,2.0,3.0
301,508019.07,30.99,1.0,3.0,4.0
312,1359000.0,71.51,5.0,1.0,4.0
318,569401.56,34.38,2.0,3.0,4.0
329,520800.0,30.84,2.0,2.0,4.0
334,401580.0,34.26,2.0,3.0,15.0
342,794911.18,52.49,3.0,4.0,4.0
347,390240.0,34.02,2.0,2.0,15.0
349,524147.12,36.12,2.0,1.0,4.0
355,856737.92,55.98,3.0,5.0,4.0
360,642638.0,53.19,3.0,3.0,15.0
362,969071.0,64.97,2.0,5.0,4.0
368,496495.11,36.39,2.0,7.0,15.0
370,401925.0,34.18,2.0,4.0,15.0
378,1205820.0,31.56,1.0,2.0,8.0
384,910787.0,47.93,3.0,4.0,3.0
389,878115.87,112.31,7.0,1.0,8.0
403,871978.0,55.54,3.0,2.0,8.0
415,429946.0,26.14,1.0,5.0,15.0
417,482612.0,29.79,2.0,7.0,15.0
419,445922.0,26.15,1.0,8.0,15.0
421,502000.0,35.8,2.0,3.0,4.0
422,524500.0,31.51,2.0,1.0,4.0
425,1355165.0,87.43,4.0,1.0,8.0
426,925000.0,62.19,4.0,4.0,4.0
427,471500.0,27.93,2.0,2.0,4.0
430,592385.0,34.69,2.0,2.0,8.0
435,584500.0,34.84,2.0,3.0,4.0
438,485080.0,58.86,4.0,5.0,8.0
443,462000.0,27.85,2.0,4.0,4.0
446,315000.0,30.76,2.0,3.0,8.0
451,461110.0,32.55,2.0,4.0,15.0
453,446743.5,29.86,2.0,8.0,15.0
455,673021.0,51.2,3.0,9.0,15.0
457,1080000.0,67.92,4.0,1.0,8.0
462,537354.69,45.81,3.0,7.0,15.0
464,477566.0,41.39,2.0,2.0,15.0
466,512188.73,36.41,2.0,8.0,15.0
468,673878.0,47.66,2.0,1.0,4.0
474,475934.0,35.16,2.0,9.0,15.0
476,455333.0,26.12,1.0,9.0,15.0
478,636272.0,39.88,2.0,4.0,4.0
484,676889.0,36.7,2.0,4.0,8.0
489,907680.0,51.39,3.0,3.0,8.0
494,799000.0,49.59,3.0,1.0,8.0
499,606296.0,39.88,2.0,3.0,4.0
505,2309684.0,42.37,2.0,7.0,8.0
515,669963.0,72.71,2.0,3.0,17.0
516,1956690.0,120.75,5.0,1.0,7.0
526,1134797.0,68.91,4.0,1.0,6.0
564,1142886.0,68.26,4.0,5.0,8.0
569,1003000.0,63.78,3.0,3.0,8.0
574,572617.92,34.78,2.0,2.0,4.0
579,698024.0,34.7,2.0,7.0,8.0
584,783135.9,52.55,3.0,2.0,4.0
589,875021.16,55.83,3.0,4.0,4.0
594,2000000.0,46.85,2.0,6.0,8.0
